timerange,plug,light,ventilation_use,heating_use,cooling_use,temperature_15min_avg,humidity_15min_avg,Co2,pm10_15min_avg,pm25_15min_avg,tvoc_15min_avg,illuminance_15min_avg,heatcool,plug_change,Co2_change,weekday,occupancy,light_waste,heatcool_waste,plug_waste
2024-10-01 05:30:00,0.19503473,0.0,0.45389947,0.002343381,0.00014236,25.39999962,61.24666672,505.4666667,1.0,1.0,56.66666667,3.733333333,0.0024857409999999996,-0.03460069000000002,-9.533333299999981,0,1.0,0.0,0.0,0.0
2024-10-01 05:45:00,0.22888888,0.0,0.4532033,0.002339153,0.00014209,25.39999962,61.34666697,498.6,1.0,1.0,44.33333333,2.666666667,0.002481243,0.03385415,-6.866666699999996,0,1.0,0.0,0.0,0.0
2024-10-01 06:00:00,0.21993057,0.0,0.45309854,0.002338096,0.00014501,25.35999947,61.47333349,491.0,1.0,1.0,28.46666667,3.0,0.002483106,-0.008958309999999997,-7.600000000000023,0,1.0,0.0,0.0,0.0
2024-10-01 06:15:00,0.19503473,0.0,0.45509854,0.002341267,0.123481676,25.24666672,61.95333328,487.8666667,1.0,1.0,23.2,2.866666667,0.125822943,-0.024895840000000002,-3.133333300000004,0,1.0,0.0,0.0,0.0
2024-10-01 06:30:00,0.2173264,0.0,0.66682744,0.002343381,0.12113509,25.20000076,62.60000025,483.8,1.0,1.0,25.46666667,2.6,0.123478471,0.022291670000000013,-4.066666699999985,0,1.0,0.0,0.0,0.0
2024-10-01 06:45:00,0.19578125,0.0,0.66550505,0.002347609,0.12098714,25.20000076,63.01333313,482.7333333,1.0,1.0,28.4,3.0,0.12333474900000001,-0.021545150000000013,-1.0666666999999848,0,1.0,0.0,0.0,0.0
2024-10-01 07:00:00,0.22888888,0.0,0.7108221,0.002338096,0.12118136,25.20000076,63.10666555,480.7333333,1.0,1.0,24.6,3.8,0.123519456,0.03310763,-2.0,0,1.0,0.0,0.0,0.0
2024-10-01 07:15:00,0.2724479,0.0,0.7086815,0.002334925,0.120671876,25.17333399,63.04666672,481.2666667,1.0,1.0,25.2,3.533333333,0.123006801,0.04355902000000003,0.5333333999999468,0,1.0,0.0,0.0,0.0
2024-10-01 07:30:00,0.2482986,0.0,0.035867322,0.002345495,0.00014209,25.20000076,62.83333333,479.6,1.0,1.0,29.46666667,4.2,0.002487585,-0.024149300000000012,-1.6666666999999507,0,1.0,0.0,0.0,0.0
2024-10-01 07:45:00,0.26274306,0.0,0.004916667,0.002335982,0.00014209,25.20000076,62.8200002,482.3333333,1.0,1.0,34.86666667,9.133333333,0.002478072,0.014444459999999965,2.7333332999999698,0,1.0,0.0,0.0,0.0
2024-10-01 08:00:00,0.29399306,0.1496582,0.005953106,0.002335982,0.00014209,25.20000076,62.80624962,484.125,1.0,1.0,42.0,6.0,0.002478072,0.03125,1.7916667000000075,0,1.0,0.0,0.0,0.0
2024-10-01 08:15:00,0.37155497,0.21571045,0.004916667,0.002331754,0.00014103,25.20666733,62.79333267,492.0,1.0,1.0,48.73333333,40.46666667,0.002472784,0.07756191000000001,7.875,0,1.0,0.0,0.0,0.0
2024-10-01 08:30:00,0.45852432,0.46563476,0.005437486,0.002330696,0.00013891,25.31333262,62.71333338,504.2666667,1.0,1.0,56.0,53.0,0.002469606,0.08696935,12.266666699999973,0,1.0,0.0,0.0,0.0
2024-10-01 08:45:00,0.656441,0.64536977,0.005381064,0.002343381,0.00014023,25.39999962,62.68666712,520.2666667,1.0,1.0,76.13333333,53.0,0.0024836109999999997,0.19791668000000007,16.0,0,1.0,0.0,0.0,0.0
2024-10-01 09:00:00,0.7186632,0.6243774,0.005802071,0.002332811,0.050830275,25.5,62.59333318,529.9333333,1.0,1.0,85.93333333,53.0,0.053163086,0.062222199999999894,9.666666599999985,0,1.0,0.0,0.0,0.0
2024-10-01 09:15:00,0.69711804,0.7193929,0.005333333,0.002335982,0.0529266,25.59333369,62.55333252,546.2,1.0,1.0,99.86666667,53.0,0.055262582,-0.021545159999999952,16.266666700000087,0,1.0,0.0,0.0,0.0
2024-10-01 09:30:00,0.7186632,0.5897591,0.005604153,0.002331754,0.05234973,25.65333392,62.47333374,547.2666667,1.066666667,1.066666667,105.7333333,53.0,0.054681483999999995,0.021545159999999952,1.066666699999928,0,1.0,0.0,0.0,0.0
2024-10-01 09:45:00,0.7525174,0.67494464,0.004942708,0.002337039,0.053239338,25.70000076,62.58666611,549.8666667,1.466666667,1.466666667,104.5333333,53.0,0.055576376999999996,0.033854200000000056,2.6000000000000227,0,1.0,0.0,0.0,0.0
2024-10-01 10:00:00,0.76222223,0.67046875,0.005834622,0.002334925,0.053436276,25.73333359,62.74666621,560.5333333,2.066666667,2.066666667,100.8666667,53.53333333,0.055771201,0.009704829999999998,10.666666599999985,0,1.0,0.0,0.0,0.0
2024-10-01 10:15:00,0.7380729,0.67452556,0.005416667,0.002330696,0.05443517,25.80666593,62.76666667,541.7333333,2.333333333,2.333333333,81.53333333,54.66666667,0.056765866,-0.02414932999999997,-18.799999999999955,0,1.0,0.0,0.0,0.0
2024-10-01 10:30:00,0.8057812,0.67542887,0.005764309,0.002334925,0.0530339,25.88666623,62.66666616,553.6,2.0,2.0,97.53333333,54.73333333,0.055368825,0.06770829999999994,11.866666699999996,0,1.0,0.0,0.0,0.0
2024-10-01 10:45:00,0.82993054,0.68970865,0.00575,0.002338096,0.05372763,25.90666631,62.49333344,556.0,2.0,2.0,89.73333333,53.26666667,0.056065725999999996,0.02414934000000002,2.3999999999999773,0,1.0,0.0,0.0,0.0
2024-10-01 11:00:00,0.79347223,0.6460265,0.005802082,0.002341267,0.05446173,25.99333331,62.22666677,540.4666667,2.0,2.0,41.06666667,53.0,0.056802997,-0.036458309999999994,-15.533333299999981,0,1.0,0.0,0.0,0.0
2024-10-01 11:15:00,0.77192706,0.7543131,0.005981758,0.002341267,0.054379925,26.0,61.80666682,525.2,2.0,2.0,27.8,53.4,0.056721192000000004,-0.021545170000000002,-15.266666699999973,0,1.0,0.0,0.0,0.0
2024-10-01 11:30:00,0.77192706,0.68983483,0.006270819,0.002337039,0.036865387,26.09333369,61.70666682,522.0666667,2.066666667,2.066666667,30.4,54.4,0.039202426,0.0,-3.133333300000004,0,1.0,0.0,0.0,0.0
2024-10-01 11:45:00,0.82993054,0.57541496,0.0055,0.002341267,0.00014156,26.10000038,61.58000031,522.7333333,2.0,2.0,28.66666667,55.0,0.002482827,0.058003479999999996,0.666666599999985,0,1.0,0.0,0.0,0.0
2024-10-01 12:00:00,0.79347223,0.653683,0.005333333,0.002343381,0.00014262,26.16000061,61.06000036,530.8666667,2.133333333,2.066666667,24.93333333,53.4,0.002486001,-0.036458309999999994,8.13333339999997,0,1.0,0.0,0.0,0.0
2024-10-01 12:15:00,0.77192706,0.72011614,0.005770819,0.002338096,0.00014528,26.19333407,60.5799998,511.6,2.0,2.0,14.0,56.13333333,0.002483376,-0.021545170000000002,-19.266666699999973,0,1.0,0.0,0.0,0.0
